Site,Sensor number,Download date,Calibration date,Temp_(C),Voltage#1,TK,S(T),Eo(T),pH,Date time
LOL,1,7/13/2021,6/4 and 7/13,10.43626537,0.0360899,283.5862654,0.056268941,-0.407327476,7.880322095,6/15/21 03:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.4318487,0.03622834,283.5818487,0.056268064,-0.407323059,7.882826699,6/15/21 03:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.4279898,0.03591186,283.5779898,0.056267299,-0.4073192,7.877240805,6/15/21 03:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.44213624,0.0359379,283.5921362,0.056270105,-0.407333347,7.877562035,6/15/21 04:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.46887644,0.0357658,283.6188764,0.056275411,-0.407360087,7.874236314,6/15/21 04:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.49082068,0.03522224,283.6408207,0.056279765,-0.407382031,7.864358849,6/15/21 04:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.50584981,0.03474934,283.6558498,0.056282747,-0.40739706,7.855806976,6/15/21 04:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.51697887,0.0338983,283.6669789,0.056284956,-0.407408189,7.840576293,6/15/21 05:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.51752669,0.03326674,283.6675267,0.056285064,-0.407408737,7.829350146,6/15/21 05:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.52026876,0.0326548,283.6702688,0.056285608,-0.407411479,7.81845113,6/15/21 05:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.52181988,0.032545,283.6718199,0.056285916,-0.40741303,7.816485182,6/15/21 05:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.52069384,0.0325763,283.6706938,0.056285693,-0.407411904,7.817052296,6/15/21 06:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.51744294,0.03275898,283.6674429,0.056285048,-0.407408653,7.820329746,6/15/21 06:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.51143364,0.033257,283.6614336,0.056283855,-0.407402644,7.829237013,6/15/21 06:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.50556883,0.03384626,283.6555688,0.056282692,-0.407396779,7.839764335,6/15/21 06:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.50071963,0.03400492,283.6507196,0.05628173,-0.40739193,7.842631234,6/15/21 07:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.50152204,0.03387278,283.651522,0.056281889,-0.407392733,7.84027548,6/15/21 07:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.52079426,0.03315502,283.6707943,0.056285713,-0.407412005,7.827333141,6/15/21 07:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.56559681,0.03103286,283.7155968,0.056294602,-0.407456807,7.78919556,6/15/21 07:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.67139045,0.02977706,283.8213905,0.056315594,-0.407562601,7.765871414,6/15/21 08:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.83453709,0.0293485,283.9845371,0.056347965,-0.407725748,7.756699732,6/15/21 08:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.23703519,0.03044156,284.3870352,0.056427829,-0.408128246,7.772225445,6/15/21 08:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.546802,0.02844612,284.696802,0.056489292,-0.408438012,7.733928229,6/15/21 08:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.8760848,0.02800282,285.0260848,0.056554628,-0.408767295,7.72297738,6/15/21 09:00:00
LOL,1,7/13/2021,6/4 and 7/13,12.22022246,0.02831374,285.3702225,0.056622912,-0.409111433,7.725232753,6/15/21 09:15:00
LOL,1,7/13/2021,6/4 and 7/13,12.61218391,0.02907792,285.7621839,0.056700684,-0.409503394,7.735026808,6/15/21 09:30:00
LOL,1,7/13/2021,6/4 and 7/13,13.05963945,0.02945606,286.2096394,0.056789468,-0.40995085,7.73747182,6/15/21 09:45:00
LOL,1,7/13/2021,6/4 and 7/13,13.5176307,0.02958056,286.6676307,0.056880342,-0.410408841,7.735350779,6/15/21 10:00:00
LOL,1,7/13/2021,6/4 and 7/13,13.9415777,0.02987648,287.0915777,0.056964462,-0.410832788,7.736565142,6/15/21 10:15:00
LOL,1,7/13/2021,6/4 and 7/13,14.38084193,0.0300838,287.5308419,0.05705162,-0.411272052,7.73607922,6/15/21 10:30:00
LOL,1,7/13/2021,6/4 and 7/13,14.87157603,0.03039098,288.021576,0.057148991,-0.411762787,7.736860408,6/15/21 10:45:00
LOL,1,7/13/2021,6/4 and 7/13,15.35614911,0.0309836,288.5061491,0.05724514,-0.41224736,7.742682824,6/15/21 11:00:00
LOL,1,7/13/2021,6/4 and 7/13,15.79628061,0.0310657,288.9462806,0.05733247,-0.412687491,7.739997767,6/15/21 11:15:00
LOL,1,7/13/2021,6/4 and 7/13,16.21045999,0.0314424,289.36046,0.057414651,-0.41310167,7.742693904,6/15/21 11:30:00
LOL,1,7/13/2021,6/4 and 7/13,16.61441069,0.03246606,289.7644107,0.057494803,-0.413505621,7.756730334,6/15/21 11:45:00
LOL,1,7/13/2021,6/4 and 7/13,16.96600666,0.03318254,290.1160067,0.057564566,-0.413857217,7.765884235,6/15/21 12:00:00
LOL,1,7/13/2021,6/4 and 7/13,17.29854207,0.03478042,290.4485421,0.057630548,-0.414189753,7.790489443,6/15/21 12:15:00
LOL,1,7/13/2021,6/4 and 7/13,17.4144371,0.03633244,290.5644371,0.057653543,-0.414305648,7.81631208,6/15/21 12:30:00
LOL,1,7/13/2021,6/4 and 7/13,16.61475802,0.03890948,289.764758,0.057494872,-0.413505968,7.868796551,6/15/21 12:45:00
LOL,1,7/13/2021,6/4 and 7/13,15.12990398,0.04202698,288.279904,0.057200248,-0.412021114,7.937869292,6/15/21 13:00:00
LOL,1,7/13/2021,6/4 and 7/13,13.96206733,0.04360444,287.1120673,0.056968527,-0.410853278,7.97734715,6/15/21 13:15:00
LOL,1,7/13/2021,6/4 and 7/13,13.31931089,0.04456626,286.4693109,0.056840992,-0.410210521,8.000859335,6/15/21 13:30:00
LOL,1,7/13/2021,6/4 and 7/13,12.85204026,0.0450879,286.0020403,0.056748277,-0.409743251,8.014889233,6/15/21 13:45:00
LOL,1,7/13/2021,6/4 and 7/13,12.60178111,0.04493284,285.7517811,0.05669862,-0.409492992,8.014759949,6/15/21 14:00:00
LOL,1,7/13/2021,6/4 and 7/13,12.50919377,0.04535174,285.6591938,0.056680249,-0.409400404,8.023114758,6/15/21 14:15:00
LOL,1,7/13/2021,6/4 and 7/13,12.43314042,0.04539948,285.5831404,0.056665159,-0.409324351,8.024751724,6/15/21 14:30:00
LOL,1,7/13/2021,6/4 and 7/13,12.36731601,0.0453135,285.517316,0.056652098,-0.409258526,8.023922195,6/15/21 14:45:00
LOL,1,7/13/2021,6/4 and 7/13,12.36021626,0.04517674,285.5102163,0.056650689,-0.409251427,8.021582308,6/15/21 15:00:00
LOL,1,7/13/2021,6/4 and 7/13,12.31240904,0.04538596,285.462409,0.056641203,-0.40920362,8.025775447,6/15/21 15:15:00
LOL,1,7/13/2021,6/4 and 7/13,12.31668586,0.04556242,285.4666859,0.056642052,-0.409207896,8.028846065,6/15/21 15:30:00
LOL,1,7/13/2021,6/4 and 7/13,12.30646578,0.04537232,285.4564658,0.056640024,-0.409197676,8.025596796,6/15/21 15:45:00
LOL,1,7/13/2021,6/4 and 7/13,12.3378739,0.0454111,285.4878739,0.056646256,-0.409229084,8.025952915,6/15/21 16:00:00
LOL,1,7/13/2021,6/4 and 7/13,12.29019226,0.04517092,285.4401923,0.056636795,-0.409181403,8.022211028,6/15/21 16:15:00
LOL,1,7/13/2021,6/4 and 7/13,12.19460346,0.04467546,285.3446035,0.056617829,-0.409085814,8.014459152,6/15/21 16:30:00
LOL,1,7/13/2021,6/4 and 7/13,12.17276391,0.04431418,285.3227639,0.056613495,-0.409063974,8.008305322,6/15/21 16:45:00
LOL,1,7/13/2021,6/4 and 7/13,12.16225803,0.04433908,285.312258,0.056611411,-0.409053469,8.008854469,6/15/21 17:00:00
LOL,1,7/13/2021,6/4 and 7/13,12.16276527,0.04444892,285.3127653,0.056611511,-0.409053976,8.010789432,6/15/21 17:15:00
LOL,1,7/13/2021,6/4 and 7/13,12.12451611,0.04401704,285.2745161,0.056603922,-0.409015727,8.003557913,6/15/21 17:30:00
LOL,1,7/13/2021,6/4 and 7/13,12.10414785,0.04401608,285.2541478,0.05659988,-0.408995358,8.003752573,6/15/21 17:45:00
LOL,1,7/13/2021,6/4 and 7/13,12.04519621,0.04359116,285.1951962,0.056588183,-0.408936407,7.996856245,6/15/21 18:00:00
LOL,1,7/13/2021,6/4 and 7/13,12.0451424,0.04380428,285.1951424,0.056588173,-0.408936353,8.000622961,6/15/21 18:15:00
LOL,1,7/13/2021,6/4 and 7/13,12.0765348,0.04399812,285.2265348,0.056594401,-0.408967745,8.003722167,6/15/21 18:30:00
LOL,1,7/13/2021,6/4 and 7/13,12.07785744,0.04386728,285.2278574,0.056594664,-0.408969068,8.001396544,6/15/21 18:45:00
LOL,1,7/13/2021,6/4 and 7/13,12.10221306,0.04395482,285.2522131,0.056599496,-0.408993424,8.002690335,6/15/21 19:00:00
LOL,1,7/13/2021,6/4 and 7/13,12.12571618,0.04378886,285.2757162,0.05660416,-0.409016927,7.999514293,6/15/21 19:15:00
LOL,1,7/13/2021,6/4 and 7/13,12.15060514,0.04372746,285.3006051,0.056609098,-0.409041816,7.998171466,6/15/21 19:30:00
LOL,1,7/13/2021,6/4 and 7/13,12.15256936,0.04331594,285.3025694,0.056609488,-0.40904378,7.990881646,6/15/21 19:45:00
LOL,1,7/13/2021,6/4 and 7/13,12.13407015,0.04284482,285.2840702,0.056605818,-0.409025281,7.982750187,6/15/21 20:00:00
LOL,1,7/13/2021,6/4 and 7/13,12.11123912,0.04232562,285.2612391,0.056601287,-0.40900245,7.973812788,6/15/21 20:15:00
LOL,1,7/13/2021,6/4 and 7/13,12.08171945,0.04178672,285.2317194,0.05659543,-0.40897293,7.964594466,6/15/21 20:30:00
LOL,1,7/13/2021,6/4 and 7/13,12.06579387,0.04148486,285.2157939,0.05659227,-0.408957004,7.959423831,6/15/21 20:45:00
LOL,1,7/13/2021,6/4 and 7/13,12.02439195,0.04113352,285.1743919,0.056584055,-0.408915602,7.953638531,6/15/21 21:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.99742042,0.04084968,285.1474204,0.056578704,-0.408888631,7.948897413,6/15/21 21:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.97353284,0.04070108,285.1235328,0.056573964,-0.408864743,7.946514483,6/15/21 21:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.94277077,0.04046476,285.0927708,0.05656786,-0.408833981,7.942650482,6/15/21 21:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.90805513,0.04037534,285.0580551,0.056560972,-0.408799266,7.941423051,6/15/21 22:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.86920457,0.04009762,285.0192046,0.056553263,-0.408760415,7.936907793,6/15/21 22:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.85434238,0.04020366,285.0043424,0.056550314,-0.408745553,7.938934012,6/15/21 22:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.79680126,0.03990336,284.9468013,0.056538897,-0.408688012,7.934208057,6/15/21 22:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.74412054,0.0395137,284.8941205,0.056528444,-0.408635331,7.927850098,6/15/21 23:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.70252093,0.03957562,284.8525209,0.05652019,-0.408593731,7.929367399,6/15/21 23:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.6609447,0.03951514,284.8109447,0.05651194,-0.408552155,7.928718992,6/15/21 23:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.59166046,0.03877208,284.7416605,0.056498193,-0.408482871,7.916269999,6/15/21 23:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.5618287,0.03877434,284.7118287,0.056492274,-0.408453039,7.916611393,6/16/21 00:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.51220659,0.0385133,284.6622066,0.056482428,-0.408403417,7.912491256,6/16/21 00:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.45942528,0.03816486,284.6094253,0.056471955,-0.408350636,7.906853853,6/16/21 00:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.36939534,0.03770694,284.5193953,0.056454091,-0.408260606,7.899649688,6/16/21 00:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.35184421,0.03785646,284.5018442,0.056450609,-0.408243055,7.902474799,6/16/21 01:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.24307454,0.03721158,284.3930745,0.056429027,-0.408134285,7.89214149,6/16/21 01:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.08712036,0.03645932,284.2371204,0.056398083,-0.407978331,7.880368085,6/16/21 01:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.0454205,0.03653724,284.1954205,0.056389809,-0.407936631,7.882166685,6/16/21 01:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.93910167,0.0357327,284.0891017,0.056368713,-0.407830312,7.868957601,6/16/21 02:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.87447009,0.0358478,284.0244701,0.056355889,-0.407765681,7.871643763,6/16/21 02:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.83016184,0.03607336,283.9801618,0.056347097,-0.407721372,7.876088644,6/16/21 02:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.76051608,0.03576428,283.9105161,0.056333278,-0.407651727,7.871297769,6/16/21 02:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.7067718,0.03560188,283.8567718,0.056322614,-0.407597982,7.868950477,6/16/21 03:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.64723288,0.03529546,283.7972329,0.056310801,-0.407538443,7.864102423,6/16/21 03:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.61496184,0.03530444,283.7649618,0.056304397,-0.407506172,7.864583102,6/16/21 03:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.58934572,0.03537636,283.7393457,0.056299315,-0.407480556,7.866115579,6/16/21 03:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.55213097,0.03546132,283.702131,0.056291931,-0.407443341,7.867995592,6/16/21 04:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.51095876,0.03522544,283.6609588,0.056283761,-0.407402169,7.864215181,6/16/21 04:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.49341816,0.03537688,283.6434182,0.056280281,-0.407384629,7.867080659,6/16/21 04:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.47260009,0.0352882,283.6226001,0.05627615,-0.407363811,7.86571238,6/16/21 04:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.44511316,0.03493326,283.5951132,0.056270696,-0.407336324,7.859678549,6/16/21 05:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.44144516,0.03514134,283.5914452,0.056269968,-0.407332656,7.863412909,6/16/21 05:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.42975331,0.03496008,283.5797533,0.056267648,-0.407320964,7.860307934,6/16/21 05:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.41038582,0.03473846,283.5603858,0.056263806,-0.407301596,7.856561631,6/16/21 05:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.39135963,0.03435658,283.5413596,0.05626003,-0.40728257,7.849962871,6/16/21 06:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.38106505,0.0342158,283.531065,0.056257988,-0.407272276,7.847562503,6/16/21 06:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.37917634,0.03397728,283.5291763,0.056257613,-0.407270387,7.843341424,6/16/21 06:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.38149439,0.03369944,283.5314944,0.056258073,-0.407272705,7.838379835,6/16/21 06:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.38850343,0.03384056,283.5385034,0.056259464,-0.407279714,7.840819033,6/16/21 07:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.40246182,0.03420134,283.5524618,0.056262233,-0.407293672,7.847093622,6/16/21 07:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.42889149,0.03438748,283.5788915,0.056267477,-0.407320102,7.850140112,6/16/21 07:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.47896551,0.0342771,283.6289655,0.056277413,-0.407370176,7.847682604,6/16/21 07:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.56003145,0.03508372,283.7100315,0.056293498,-0.407451242,7.861209134,6/16/21 08:00:00
