"site","sensor_number","recovery_date","date_time","date","time","temp_durafet_c","p_h","tide","temp_c","tide_height","temp_hobo_c"
"Alegria",1,"11/7/21",2021-09-18 05:30:00,"09/18/2021","05:30:00",14.60768456,7.920333305,"high",15.15,1.036066,NA
"Alegria",1,"11/7/21",2021-09-18 05:45:00,"09/18/2021","05:45:00",14.57463807,7.92664697,"high",15.1222222222222,1.338838,NA
"Alegria",1,"11/7/21",2021-09-18 06:00:00,"09/18/2021","06:00:00",14.54394902,7.931595094,"high",15.1111111111111,1.652182,NA
"Alegria",1,"11/7/21",2021-09-18 06:15:00,"09/18/2021","06:15:00",14.53093457,7.941231287,"high",15.1111111111111,1.970587,NA
"Alegria",1,"11/7/21",2021-09-18 06:30:00,"09/18/2021","06:30:00",14.52060294,7.940515229,"high",15.1,2.289563,NA
"Alegria",1,"11/7/21",2021-09-18 06:45:00,"09/18/2021","06:45:00",14.50901454,7.939669174,"high",15.0777777777778,2.604667,NA
"Alegria",1,"11/7/21",2021-09-18 07:00:00,"09/18/2021","07:00:00",14.49572621,7.930594108,"high",15.0777777777778,2.910523,NA
"Alegria",1,"11/7/21",2021-09-18 07:15:00,"09/18/2021","07:15:00",14.47311425,7.937182337,"high",15.0444444444444,3.203331,NA
"Alegria",1,"11/7/21",2021-09-18 07:30:00,"09/18/2021","07:30:00",14.45243075,7.929377854,"high",15.0333333333333,3.47823,NA
"Alegria",1,"11/7/21",2021-09-18 07:45:00,"09/18/2021","07:45:00",14.44681233,7.928873186,"high",15.0333333333333,3.731681,NA
"Alegria",1,"11/7/21",2021-09-18 08:00:00,"09/18/2021","08:00:00",14.44776244,7.924586757,"high",15.0444444444444,3.960445,NA
"Alegria",1,"11/7/21",2021-09-18 08:15:00,"09/18/2021","08:15:00",14.42822384,7.934901744,"high",15,4.160976,NA
"Alegria",1,"11/7/21",2021-09-18 08:30:00,"09/18/2021","08:30:00",14.43310209,7.926501016,"high",15.0111111111111,4.331003,NA
"Alegria",1,"11/7/21",2021-09-18 08:45:00,"09/18/2021","08:45:00",14.40796699,7.930098412,"high",14.9888888888889,4.468651,NA
"Alegria",1,"11/7/21",2021-09-18 09:00:00,"09/18/2021","09:00:00",14.4089121,7.932904684,"high",15,4.572161,NA
"Alegria",1,"11/7/21",2021-09-18 09:15:00,"09/18/2021","09:15:00",14.40319257,7.954949377,"high",14.9777777777778,4.640837,NA
"Alegria",1,"11/7/21",2021-09-18 09:30:00,"09/18/2021","09:30:00",14.4011666,7.946900251,"high",14.9777777777778,4.674415,NA
"Alegria",1,"11/7/21",2021-09-18 09:45:00,"09/18/2021","09:45:00",14.3904555,7.958230985,"high",14.9777777777778,4.67303,NA
"Alegria",1,"11/7/21",2021-09-18 10:00:00,"09/18/2021","10:00:00",14.39026657,7.969790127,"high",14.9888888888889,4.637012,NA
"Alegria",1,"11/7/21",2021-09-18 10:15:00,"09/18/2021","10:15:00",14.40420621,7.976755815,"high",14.9888888888889,4.567773,NA
"Alegria",1,"11/7/21",2021-09-18 10:30:00,"09/18/2021","10:30:00",14.3981304,7.971741721,"high",15,4.467521,NA
"Alegria",1,"11/7/21",2021-09-18 10:45:00,"09/18/2021","10:45:00",14.42531466,7.99147493,"high",15.0222222222222,4.338639,NA
"Alegria",1,"11/7/21",2021-09-18 11:00:00,"09/18/2021","11:00:00",14.45845148,8.007072609,"high",15.0666666666667,4.184486,NA
"Alegria",1,"11/7/21",2021-09-18 11:15:00,"09/18/2021","11:15:00",14.48574733,8.008627289,"high",15.1,4.008224,NA
"Alegria",1,"11/7/21",2021-09-18 11:30:00,"09/18/2021","11:30:00",14.52272458,8.012370086,"high",15.1722222222222,3.813879,NA
"Alegria",1,"11/7/21",2021-09-18 11:45:00,"09/18/2021","11:45:00",14.57725346,8.025542457,"high",15.2166666666667,3.605846,NA
"Alegria",1,"11/7/21",2021-09-18 12:00:00,"09/18/2021","12:00:00",14.67124812,8.04381753,"high",15.3444444444444,3.388046,NA
"Alegria",1,"11/7/21",2021-09-18 12:15:00,"09/18/2021","12:15:00",14.71685898,8.051544193,"high",15.3666666666667,3.165478,NA
"Alegria",1,"11/7/21",2021-09-18 12:30:00,"09/18/2021","12:30:00",14.84015319,8.061980543,"high",15.5166666666667,2.942244,NA
"Alegria",1,"11/7/21",2021-09-18 12:45:00,"09/18/2021","12:45:00",14.91367107,8.072719231,"high",15.5833333333333,2.723176,NA
"Alegria",1,"11/7/21",2021-09-18 13:00:00,"09/18/2021","13:00:00",15.0522974,8.087667547,"high",15.7611111111111,2.513,NA
"Alegria",1,"11/7/21",2021-09-18 13:15:00,"09/18/2021","13:15:00",15.13821124,8.089594472,"high",15.8277777777778,2.31558,NA
"Alegria",1,"11/7/21",2021-09-18 13:30:00,"09/18/2021","13:30:00",15.31144318,8.114740278,"high",16.0611111111111,2.135437,NA
"Alegria",1,"11/7/21",2021-09-18 13:45:00,"09/18/2021","13:45:00",15.41186422,8.115515585,"high",16.1166666666667,1.975954,NA
"Alegria",1,"11/7/21",2021-09-18 14:00:00,"09/18/2021","14:00:00",15.49901839,8.112254252,"high",16.1944444444444,1.84075,NA
"Alegria",1,"11/7/21",2021-09-18 14:15:00,"09/18/2021","14:15:00",15.60137457,8.126381453,"high",16.3111111111111,1.732905,NA
"Alegria",1,"11/7/21",2021-09-18 14:30:00,"09/18/2021","14:30:00",15.71936115,8.140332962,"high",16.4277777777778,1.654671,NA
"Alegria",1,"11/7/21",2021-09-18 14:45:00,"09/18/2021","14:45:00",15.80601574,8.140197097,"high",16.5055555555556,1.608178,NA
"Alegria",1,"11/7/21",2021-09-18 15:00:00,"09/18/2021","15:00:00",15.88288267,8.145955349,"high",16.5777777777778,1.59472,NA
"Alegria",1,"11/7/21",2021-09-18 15:15:00,"09/18/2021","15:15:00",15.96820754,8.142234247,"high",16.6722222222222,1.614693,NA
"Alegria",1,"11/7/21",2021-09-18 15:30:00,"09/18/2021","15:30:00",15.96795334,8.130211497,"high",16.5888888888889,1.667971,NA
"Alegria",1,"11/7/21",2021-09-18 15:45:00,"09/18/2021","15:45:00",15.95491702,8.109681071,"high",16.5555555555556,1.754173,NA
"Alegria",1,"11/7/21",2021-09-18 16:00:00,"09/18/2021","16:00:00",15.97062233,8.092735696,"high",16.5444444444444,1.872343,NA
"Alegria",1,"11/7/21",2021-09-18 16:15:00,"09/18/2021","16:15:00",16.03486165,8.102765824,"high",16.6722222222222,2.020959,NA
"Alegria",1,"11/7/21",2021-09-18 16:30:00,"09/18/2021","16:30:00",16.03785011,8.076571581,"high",16.6444444444444,2.197954,NA
"Alegria",1,"11/7/21",2021-09-18 16:45:00,"09/18/2021","16:45:00",16.06658509,8.064509529,"high",16.6722222222222,2.400752,NA
"Alegria",1,"11/7/21",2021-09-18 17:00:00,"09/18/2021","17:00:00",16.1188161,8.053676343,"high",16.7722222222222,2.626301,NA
"Alegria",1,"11/7/21",2021-09-18 17:15:00,"09/18/2021","17:15:00",16.19189225,8.033907998,"high",16.8666666666667,2.871408,NA
"Alegria",1,"11/7/21",2021-09-18 17:30:00,"09/18/2021","17:30:00",16.26607038,8.016110948,"high",16.9222222222222,3.131676,NA
"Alegria",1,"11/7/21",2021-09-18 17:45:00,"09/18/2021","17:45:00",16.31297815,8.000441034,"high",16.9444444444444,3.403209,NA
"Alegria",1,"11/7/21",2021-09-18 18:00:00,"09/18/2021","18:00:00",16.31574877,7.994454714,"high",16.9333333333333,3.681604,NA
"Alegria",1,"11/7/21",2021-09-18 18:15:00,"09/18/2021","18:15:00",16.30860566,7.988067355,"high",16.8888888888889,3.962283,NA
"Alegria",1,"11/7/21",2021-09-18 18:30:00,"09/18/2021","18:30:00",16.28095369,7.982940575,"high",16.8555555555556,4.240565,NA
"Alegria",1,"11/7/21",2021-09-18 18:45:00,"09/18/2021","18:45:00",16.23884105,7.979059933,"high",16.8055555555556,4.511745,NA
"Alegria",1,"11/7/21",2021-09-18 19:00:00,"09/18/2021","19:00:00",16.20037503,7.972546618,"high",16.75,4.771167,NA
"Alegria",1,"11/7/21",2021-09-18 19:15:00,"09/18/2021","19:15:00",16.16231956,7.967656542,"high",16.7166666666667,5.014301,NA
"Alegria",1,"11/7/21",2021-09-18 19:30:00,"09/18/2021","19:30:00",16.12728398,7.96269564,"high",16.6722222222222,5.236819,NA
"Alegria",1,"11/7/21",2021-09-18 19:45:00,"09/18/2021","19:45:00",16.09936827,7.958216836,"high",16.6666666666667,5.434662,NA
"Alegria",1,"11/7/21",2021-09-18 20:00:00,"09/18/2021","20:00:00",16.07204817,7.955517628,"high",16.6333333333333,5.604114,NA
"Alegria",1,"11/7/21",2021-09-18 20:15:00,"09/18/2021","20:15:00",16.03480607,7.950157301,"high",16.5777777777778,5.741862,NA
"Alegria",1,"11/7/21",2021-09-18 20:30:00,"09/18/2021","20:30:00",15.9944226,7.951625618,"high",16.5333333333333,5.84505,NA
"Alegria",1,"11/7/21",2021-09-18 20:45:00,"09/18/2021","20:45:00",15.95016454,7.955414303,"high",16.4944444444444,5.911334,NA
"Alegria",1,"11/7/21",2021-09-18 21:00:00,"09/18/2021","21:00:00",15.91173815,7.95219211,"high",16.4722222222222,5.93892,NA
"Alegria",1,"11/7/21",2021-09-18 21:15:00,"09/18/2021","21:15:00",15.85090577,7.951858209,"high",16.3722222222222,5.926306,NA
