Mooring_DataSet_Id,Year,Site,Latitude,Longitude,ISO_DateTime_UTC,GMT_Date,GMT_Time,GIFET_T,GIFET_pH
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-06T08:39:00.00Z,20110506,083900,13.06,8.328
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-06T08:50:00.00Z,20110506,085000,13.03,8.323
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-06T09:00:00.00Z,20110506,090000,12.98,8.323
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-06T09:09:00.00Z,20110506,090900,12.92,8.323
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T03:40:00.00Z,20110507,034000,13.59,8.440
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T03:49:00.00Z,20110507,034900,13.62,8.436
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T04:00:00.00Z,20110507,040000,13.63,8.431
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T04:09:00.00Z,20110507,040900,13.65,8.427
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T04:20:00.00Z,20110507,042000,13.66,8.423
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T04:30:00.00Z,20110507,043000,13.67,8.422
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T04:39:00.00Z,20110507,043900,13.67,8.424
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T04:50:00.00Z,20110507,045000,13.68,8.421
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T04:59:00.00Z,20110507,045900,13.68,8.417
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T05:10:00.00Z,20110507,051000,13.68,8.416
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T05:19:00.00Z,20110507,051900,13.67,8.410
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T05:30:00.00Z,20110507,053000,13.66,8.409
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T05:39:00.00Z,20110507,053900,13.64,8.408
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T05:50:00.00Z,20110507,055000,13.63,8.406
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T06:00:00.00Z,20110507,060000,13.61,8.404
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T06:09:00.00Z,20110507,060900,13.60,8.401
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T06:20:00.00Z,20110507,062000,13.57,8.399
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T06:29:00.00Z,20110507,062900,13.54,8.398
OMEGAS-ILOLXX-GIFET,2011,Lompoc_Landing_ILTERS,34.72000,-120.61000,2011-05-07T06:40:00.00Z,20110507,064000,13.52,8.396
